LocalDateTime,DataValue
1/1/2004 0:00,0.64
1/1/2004 0:15,0.63
1/1/2004 0:20,0.64
1/1/2004 0:30,0.64
1/1/2004 0:45,0.64
1/1/2004 1:00,0.64
1/1/2004 1:15,0.64
1/1/2004 1:30,0.64
1/1/2004 1:45,0.64
1/1/2004 2:00,0.63
1/1/2004 2:15,0.63
1/1/2004 2:30,0.63
1/1/2004 2:45,0.63
1/1/2004 3:00,0.62
1/1/2004 3:15,0.62
1/1/2004 3:30,0.62
1/1/2004 3:45,0.62
1/1/2004 4:00,0.62
1/1/2004 4:15,0.62
1/1/2004 4:30,0.62
1/1/2004 4:45,0.63
1/1/2004 5:00,0.63
1/1/2004 5:15,0.65
1/1/2004 5:30,0.64
1/1/2004 5:45,0.65
1/1/2004 6:00,0.65
1/1/2004 6:15,0.65
1/1/2004 6:30,0.65
1/1/2004 6:45,0.65
1/1/2004 7:00,0.65
1/1/2004 7:15,0.64
1/1/2004 7:30,0.64
1/1/2004 7:45,0.64
1/1/2004 8:00,0.64
1/1/2004 8:15,0.64
1/1/2004 8:20,0.64
1/1/2004 8:30,0.64
1/1/2004 8:45,0.64
1/1/2004 9:00,0.64
1/1/2004 9:15,0.64
1/1/2004 9:30,0.63
1/1/2004 9:45,0.63
1/1/2004 10:00,0.63
1/1/2004 10:15,0.63
1/1/2004 10:30,0.63
1/1/2004 10:45,0.63
1/1/2004 11:00,0.63
1/1/2004 11:15,0.63
1/1/2004 11:30,0.63
1/1/2004 11:45,0.63
1/1/2004 12:00,0.62
1/1/2004 12:15,0.62
1/1/2004 12:30,0.62
1/1/2004 12:45,0.61
1/1/2004 13:00,0.61
1/1/2004 13:15,0.61
1/1/2004 13:30,0.61
1/1/2004 13:45,0.61
1/1/2004 14:00,0.61
1/1/2004 14:15,0.61
1/1/2004 14:30,0.61
1/1/2004 14:45,0.6
1/1/2004 15:00,0.6
1/1/2004 15:15,0.6
1/1/2004 15:30,0.6
1/1/2004 15:45,0.6
1/1/2004 16:00,0.6
1/1/2004 16:15,0.6
1/1/2004 16:20,0.6
1/1/2004 16:30,0.59
1/1/2004 16:45,0.59
1/1/2004 17:00,0.6
1/1/2004 17:15,0.6
1/1/2004 17:30,0.6
1/1/2004 17:45,0.6
1/1/2004 18:00,0.6
1/1/2004 18:15,0.59
